name,address,district,latitude,longitude
Park Çağlayan,Gürsel Atiye Sokak No:1 34400,Kağıthane,41.07152178671789,28.978769507463433
Akhanlar Katlı Otopark,Hürriyet Eğitim Sokak No:18 34403,Kağıthane,41.07259793483378,28.98341142966885
Aydın Otopark,H. Edip Adıvar Boru Çiçeği Sokağı No:15 34382,Şişli,41.06493317874476,28.978693503103717
Mak Garaj Otopark,Merkez Huzur Sokak No:12A 34381,Şişli,41.06233175504363,28.983512904535317
Meka Otopark,Merkez Koca Mansur Sokak No:28 34200,Şişli,41.06057137164068,28.986374226159768
Şişli Açık Otoparkı,Merkez Mahallesi Kocamansur Sokak No:53/A 34381,Şişli,41.06149359206073,28.986567345213814
Dosma Otopark,Merkez İskenderoğlu Sokak No:23 34381,Şişli,41.0625694995403,28.98484000256376
Tur-Sem Otopark,Merkez Beste Sokak No:9 34060,Eyüpsultan,41.07683592012993,28.948218572824697
Fulya Otopark,Teşvikiye Hakkı Yeten Caddesi No:3 34365,Şişli,41.05458727060577,29.000163243544105
Mavi Otopark,Teşvikiye Av. Süreyya Ağaoğlu Sokak No:37 34365,Şişli,41.051424860135874,28.997399273670563
Teşvikiye Otopark,Teşvikiye Deryadil Sokağı No:104/A 34365,Şişli,41.04998735057851,28.99619202246143
Maçka Garaj Otopark,Harbiye Bronz Sokak No:6 34367,Şişli,41.04814255738343,28.99364866723426
Şişli Park Otopark,Meşrutiyet Ebe Kızı Sokak No:14/2 34363,Şişli,41.05633038080187,28.989700455462728
Çakır Otopark,Meşrutiyet Tuğrul Sokak No:13/C 34363,Şişli,41.05691060233318,28.990395138778364
Euroyönetim Park Teşvikiye,Teşvikiye Poyracık Sokak No:23 34365,Şişli,41.05223659646403,28.9959806608417
Medeo Otopark,Teşvikiye Deryadil Sokağı No:95 34365,Şişli,41.04927532100565,28.99631382338352
Empark Tunaman Otoparkı,Teşvikiye Şakayık Sokak No:61 34365,Şişli,41.051689811839594,28.99375037256912
Şeker Otopark,Sinanpaşa Ortabahçe Caddesi No:12 34353,Beşiktaş,41.04270701612123,29.004113897613678
Sinanpaşa Otopark,Sinanpaşa Köprüsü Sokak No:21 34353,Beşiktaş,41.043106852191166,29.003011220418795
Kuleler Otopark,Sinanpaşa Şair Nedim Caddesi No:20/E 34357,Beşiktaş,41.043826550995455,29.002332649837328
Beşiktaş Kapalı Otopark,Türkali Ihlamurdere Caddesi No:126-1 34357,Beşiktaş,41.049168069484296,29.00269314056352
Abbasağa Otopark,Abbasağa Ihlamur Yıldız Caddesi No:34 34349,Beşiktaş,41.05003162760098,29.004750057529993
Kartal Park Oto Yıkama,Vişnezade Özgür Sokağı No:10A 34357,Beşiktaş,41.04425272353544,29.000001467667794
Güven Otopark,Türkali Mahallesi Ihlamurdere Caddesi No:127/A,Beşiktaş,41.0500239285747,29.00186599621427
Ihlamur Otopark Oto Yıkama,Abbasağa Fulya Deresi Sokak No:35 34349,Beşiktaş,41.05133514238796,29.00440937489318
Teo Otopark,Firuzağa Yeni Çarşı Caddesi 34433,Beyoğlu,41.03106782991945,28.978675000416224
Galatasaray Otoparkı,Kuloğlu Çapanoğlu Sokak No:5 34433,Beyoğlu,41.03307494698714,28.9800482914672
Erdem Otopark,Tomtom Nur-u Ziya Sokak No:6 34433,Beyoğlu,41.032103768949945,28.97700130194786
Atik Otopark,Hacımimi Dibek Sokak No:19/A 34425,Beyoğlu,41.02799228990399,28.97614299514041
Güven Otopark Cihangir,Kuloğlu Sıraselviler Caddesi No:84/1 34433,Beyoğlu,41.031808366229946,28.982753874480093
Ortaklar Kapalı Otopark,Cihangir Bakraç Sokak No:11 34433,Beyoğlu,41.03171124720252,28.984642149675174
Taksim Camii Otopark,Kocatepe Tarlabaşı Bulvarı No:1/1 34437,Beyoğlu,41.03752195017772,28.983740927532875
Faik Paşa Garajı,Kuloğlu Faik Paşa Caddesi No:24 34433,Beyoğlu,41.03256912698214,28.980350615250792
Portcar Otopark,Kemankeş Karamustafa Paşa Kemankeş Caddesi No:57-59 34425,Beyoğlu,41.0251316121925,28.98014473558473
Şişhane Katlı Otopark,Emekyemez Yolcuzade İskender Caddesi No:46 34421,Beyoğlu,41.02846337651541,28.971239711443232
Yeşilada Otopark,Evliya Çelebi Mahallesi Kıblelizade Sokak Şişhane Sokak No:6 34457,Beyoğlu,41.02923968899335,28.972622530648085
Yeni Best Otopark Ortaköy,Mecidiye Çevirmeci Caddesi No:29 34353,Beşiktaş,41.04988259956047,29.02234729989335
Aykut Otopark,Mecidiye Kumbaracıbaşı Sokak No:53 34347,Beşiktaş,41.051368244261006,29.02320656067596
Yıldırım Otopark,Ortaköy Bulgurcu Sokak No:18 34347,Beşiktaş,41.05131424632825,29.02565369578949
Asya Oto Yıkama ve Otopark,Ortaköy Bulgurcu Sokak No:18 34347,Beşiktaş,41.05167024267855,29.0263188836423
Best Otopark,Mecidiye Büyükşekerci Sokak No:27 34347,Beşiktaş,41.04911156892326,29.024519920956433
Bebek Garajı,Bebek İnşirah Sokağı No:11 34342,Beşiktaş,41.07730500558668,29.0420360251775
Küçük Bebek Garajı,Bebek Küçük Bebek Caddesi No:11B 34342,Beşiktaş,41.07958568359168,29.044761149611183
Uzunlar Otopark,İstinye M. Sait Saraçoğlu Sokak No:1 34460,Sarıyer,41.11480814447628,29.061181714912834
Yeniköy Açık Otopark,Yeniköy Köybaşı Caddesi No:76/A 34464,Sarıyer,41.12226806301361,29.07022445531523
Lipark,Yeniköy Simitçi Salih Sokak No:7 34464,Sarıyer,41.122403736498654,29.069158840962515
Seferoğulları Otopark,Büyükdere Çayırbaşı Caddesi No:121 34453,Sarıyer,41.1603207748103,29.0402735885599
Merkez Otopark,Sarıyer Şehit Mithat Yılmaz Caddesi No:109 34450,Sarıyer,41.16768697546095,29.056624334656146
Sezgin Otopark,Sarıyer Karakol Sokak No:8 34450,Sarıyer,41.17088519944792,29.053234022374063
Gayrettepe Kapalı Otoparkı,Gayrettepe Yıldız Posta Caddesi No:36/A 34349,Beşiktaş,41.06567393442201,29.007980177228312
Tasyapı Özgün Katlı Otopark,Gayrettepe Prof. Dr. Bülent Tarcan Sokak No:7 34349,Beşiktaş,41.06380937461368,29.002388119766326
Hamdemir Otopark,Fulya Celal Atik Sokak 1. Sokak No:2 34394,Şişli,41.06372848144773,28.999791741452608
Genç Otopark,Sultan Selim Mahallesi Sultan Selim Caddesi Bereket Sokak No:10/12/C 34415,Kağıthane,41.091293710569026,28.99555569949921
Ege Otopark,Çeliktepe Mahallesi Gülbahçe Sokak 34384,Kağıthane,41.08712141679882,28.997372808237966
Rami Kütüphane Otoparkı,Rami Yeni 6. Sokak No:3 34055,Eyüpsultan,41.048231561016635,28.9181759954594
Sultan Katlı Otopark,Alemdar Molla Fenari Sokak No:20 34110,Fatih,41.01120309792832,28.97482169772733
